stu_ph,roll_no,stu_percentage,stu_name,stu_class,stu_email
991240411,123456,70,rama,B.Tech,rama@gmail.com
991240402,123457,60,rao,B.Tech,rao@gmail.com
991240403,123458,80,ravana,M.Tech,ravana@gmail.com
991240404,123459,60,siva,M.Tech,rama@gmail.com
992404005,123451,90,christ,B.Tech,christ@gmail.com
991240406,123456,70,rama,B.Tech,rama@gmail.com
991240407,123457,60,rao,B.Tech,rao@gmail.com
991240408,123458,80,ravana,M.Tech,ravana@gmail.com
991240409,123459,60,siva,M.Tech,rama@gmail.com
992404010,123451,90,christ,B.Tech,christ@gmail.com
991240412,123456,70,rama,B.Tech,rama@gmail.com
991240413,123457,60,rao,B.Tech,rao@gmail.com
991240414,123458,80,ravana,M.Tech,ravana@gmail.com
991240415,123459,60,siva,M.Tech,rama@gmail.com
992404016,123451,90,christ,B.Tech,christ@gmail.com
991240417,123456,70,rama,B.Tech,rama@gmail.com
991240418,123457,60,rao,B.Tech,rao@gmail.com
991240419,123458,80,ravana,M.Tech,ravana@gmail.com
991240420,123459,60,siva,M.Tech,rama@gmail.com
992404021,23451,90,christ,B.Tech,christ@gmail.com
991240422,123456,70,rama,B.Tech,rama@gmail.com
991240423,123457,60,rao,B.Tech,rao@gmail.com
991240424,123458,80,ravana,M.Tech,ravana@gmail.com
991240425,123459,60,siva,M.Tech,rama@gmail.com
992404026,123451,90,christ,B.Tech,christ@gmail.com
991240427,123456,70,rama,B.Tech,rama@gmail.com
991240428,123457,60,rao,B.Tech,rao@gmail.com
991240429,123458,80,ravana,M.Tech,ravana@gmail.com
991240430,123459,60,siva,M.Tech,rama@gmail.com
992404031,123451,90,christ,B.Tech,christ@gmail.com
991240432,123456,70,rama,B.Tech,rama@gmail.com
991240433,123457,60,rao,B.Tech,rao@gmail.com
991240434,123458,80,ravana,M.Tech,ravana@gmail.com
991240435,123459,60,siva,M.Tech,rama@gmail.com
992404036,123451,90,christ,B.Tech,christ@gmail.com
